"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
120,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",16,"Istocno Sarajevo",120,"East New Sarajevo","Opcine","Commune",NA,"Lukavica| Istocno Novo Sarajevo| Srpsko Novo Sarajevo"
121,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",16,"Istocno Sarajevo",121,"Han Pijesak","Opcine","Commune",NA,NA
122,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",16,"Istocno Sarajevo",122,"Istocna Ilidža","Opcine","Commune",NA,NA
123,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",16,"Istocno Sarajevo",123,"Istocni Stari Grad","Opcine","Commune",NA,NA
124,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",16,"Istocno Sarajevo",124,"Pale","Opcine","Commune",NA,NA
125,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",16,"Istocno Sarajevo",125,"Rogatica","Opcine","Commune",NA,NA
126,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",16,"Istocno Sarajevo",126,"Sokolac","Opcine","Commune",NA,NA
127,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",16,"Istocno Sarajevo",127,"Trnovo","Opcine","Commune",NA,NA
128,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",17,"Trebinje",128,"Berkovici","Opcine","Commune",NA,NA
129,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",17,"Trebinje",129,"Bileca","Opcine","Commune",NA,NA
130,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",17,"Trebinje",130,"Gacko","Opcine","Commune",NA,NA
131,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",17,"Trebinje",131,"Ljubinje","Opcine","Commune",NA,NA
132,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",17,"Trebinje",132,"Mostar","Opcine","Commune",NA,NA
133,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",17,"Trebinje",133,"Nevesinje","Opcine","Commune",NA,NA
134,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",17,"Trebinje",134,"Trebinje","Opcine","Commune",NA,NA
135,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",18,"Vlasenica",135,"Šekovici","Opcine","Commune",NA,NA
136,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",18,"Vlasenica",136,"Bratunac","Opcine","Commune",NA,NA
137,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",18,"Vlasenica",137,"Milici","Opcine","Commune",NA,NA
138,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",18,"Vlasenica",138,"Osmaci","Opcine","Commune",NA,NA
139,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",18,"Vlasenica",139,"Srebrenica","Opcine","Commune",NA,NA
140,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",18,"Vlasenica",140,"Vlasenica","Opcine","Commune",NA,NA
141,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",18,"Vlasenica",141,"Zvornik","Opcine","Commune",NA,NA
